timestamp,fault_id,trial,arm,majority_label,gen_labels_json,gen_agreement,rep_correctness_score,correctness_scores_json,judge_votes_json,correct_at_0.5,correct_at_0.6,correct_at_0.7,low_quality_flag,system_fingerprint,gitops_rag_jaccard,identified_fault_type,confidence,root_cause,reasoning,latency_ms,prompt_tokens,completion_tokens,error
2026-06-20T14:36:33.881236,F1,1,C1_A,OOM Kill,"[""OOM Kill, Resource Exhaustion"", ""OOM Kill"", ""OOM Kill""]",0.6667,0.825,"[0.9, 0.75, 0.9]","[0.75, 0.75, 0.75]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,"The 'cartservice' pod is experiencing OOMKilled errors due to high memory usage, leading to service unavailability.",Step 1: Checked node health — all nodes are Ready. Step 2: Checked pod status — cartservice-c4bb94ff4-fxkvw/server is NOT READY with restarts due to OOMKilled. Step 3: Checked service connectivity — c...,36102,12885,3277,
2026-06-20T14:36:33.881236,F1,1,C2_gitops,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.9,"[0.9, 0.9, 0.9]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,"The cartservice pod was OOMKilled due to exceeding memory limits, resulting in service endpoint unavailability.",Step 1: Checked node health; all nodes are Ready. Step 2: Checked pod status; found cartservice-c4bb94ff4-fxkvw showing 'NOT READY' with restarts and 'OOMKilled' termination reason. This indicates mem...,32847,14268,3072,
2026-06-20T14:36:33.881236,F1,1,C3_rag,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.9,"[0.9, 1.0, 0.9]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The cartservice pod was OOMKilled due to exceeding its memory limit.,"Step 1: Checked node health. All nodes are Ready, so no node-level faults. Step 2: Checked pod status. Found 'cartservice-c4bb94ff4-fxkvw' with server container NOT READY, last terminated due to OOMKi...",29933,14580,2884,
2026-06-20T14:36:33.881236,F1,1,C4_both,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.75,"[0.9, 0.75, 0.75]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,"The cartservice pod was OOMKilled due to exceeding its memory limit, leading to service endpoint failures.",Step 1: Checked node health and found all nodes are Ready. Proceeded to Step 2. Step 2: Found cartservice-c4bb94ff4-fxkvw pod with container/server NOT READY and termination reason OOMKilled. This ind...,33010,16173,3162,
2026-06-20T14:36:33.881236,F1,1,C5_placebo,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.9,"[0.9, 0.75, 0.9]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The cartservice pod is being OOMKilled due to exceeding memory limits.,"Step 1: Checked Node Health - All nodes are Ready, no issues found. Step 2: Checked Pod Status - The cartservice pod is showing 'NOT READY' with a termination reason of OOMKilled. This indicates a mem...",30722,15024,2965,
2026-06-20T14:44:27.472128,F1,2,C1_A,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.75,"[0.75, 0.9, 0.75]","[0.75, 0.75, 0.75]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The root cause is an OOMKill in the recommendationservice pod due to insufficient memory allocation.,"Step 1: Checked node health, all nodes are Ready with no pressure conditions. Step 2: Found pods in CrashLoopBackOff state due to OOMKilled (recommendationservice-678cb455cc-s866c/server). Step 3: No ...",31210,12840,3261,
2026-06-20T14:44:27.472128,F1,2,C2_gitops,OOM Kill,"[""Resource Exhaustion"", ""OOM Kill"", ""OOM Kill""]",0.6667,0.9,"[0.75, 0.9, 0.9]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The recommendationservice container is being OOMKilled due to insufficient memory limits.,"Step 1: Checked Node Health, all nodes are Ready; proceed to Step 2. Step 2: Found containers in CrashLoopBackOff due to OOMKilled. The recommendationservice-678cb455cc-s866c/server is crashing becaus...",32018,14184,2929,
2026-06-20T14:44:27.472128,F1,2,C3_rag,OOM Kill,"[""OOM Kill"", ""OOM Kill"", ""OOM Kill""]",1.0,0.75,"[0.9, 0.75, 0.75]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The recommendationservice pod was OOMKilled due to exceeding its memory limit.,"Step 1: Checked node health; all nodes are Ready, no issues found. Step 2: Found pods in CrashLoopBackOff due to OOMKilled for recommendationservice-678cb455cc-s866c and cartservice-c4bb94ff4-fxkvw. S...",28584,14652,2954,
2026-06-20T14:44:27.472128,F1,2,C4_both,OOM Kill,"[""OOM Kill and CPU Throttling"", ""OOM Kill"", ""OOM Kill""]",0.6667,0.825,"[0.75, 0.75, 0.9]","[0.75, 0.75, 0.75]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The recommendationservice pod was killed due to exceeding its memory limit.,Step 1: Checked node health. All nodes are Ready. Step 2: Checked pod status. Found `recommendationservice-678cb455cc-s866c` with CrashLoopBackOff due to OOMKilled. Step 3: Checked service connectivit...,28599,16092,3014,
2026-06-20T14:44:27.472128,F1,2,C5_placebo,OOM Kill,"[""OOM Kill"", ""Resource Exhaustion (OOMKilled)"", ""OOM Kill""]",0.6667,0.825,"[0.9, 0.5, 0.75]","[0.9, 0.9, 0.9]",1,1,1,0,fp_0004d2b74a,0.0353,OOM Kill,0.9,The recommendation service pod is being OOMKilled due to exceeded memory limits.,"Step 1: Checked node health. All nodes are Ready, so no node-level faults. Step 2: Found pods with issues. The 'recommendationservice-678cb455cc-s866c' pod is in CrashLoopBackOff due to OOMKilled. Ste...",30646,14946,3024,
2026-06-20T14:51:47.800557,F1,3,C1_A,Network Connectivity Issue,"[""Network Connectivity Issue"", ""Liveness/Readiness Probe Failures"", ""Network Connectivity Issue""]",0.6667,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,0,0,fp_0004d2b74a,0.0353,Network Connectivity Issue,0.8,"Network connectivity issues are affecting service communication, leading to pod readiness/liveness probe failures.","Step 1: Checked node health and found all nodes are Ready. Step 2: All pods are in Running state, but I found readiness and liveness probe failures for 'recommendationservice-678cb455cc-s866c' and rea...",31353,14091,3038,
2026-06-20T14:51:47.800557,F1,3,C2_gitops,Liveness/Readiness Probe Failure,"[""Liveness/Readiness Probe Failure"", ""Service Connectivity Issue"", ""Pod Unhealthy / Connectivity Issues""]",0.3333,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,0,0,fp_0004d2b74a,0.0353,Liveness/Readiness Probe Failure,0.7,The recommendationservice pod is failing Liveness and Readiness probes due to connectivity issues.,Step 1: Checked node health and found all nodes are Ready. Step 2: Checked pod status and found recommendationservice-678cb455cc-s866c is not healthy due to liveness and readiness probe failures. Step...,31108,15558,2933,
2026-06-20T14:51:47.800557,F1,3,C3_rag,Liveness/Readiness Probe Failure,"[""Liveness/Readiness Probe Failure"", ""Pod Connectivity Issue"", ""Network Timeout""]",0.3333,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0,0,0,0,fp_0004d2b74a,0.0353,Liveness/Readiness Probe Failure,0.8,The recommendationservice pod is failing liveness and readiness probes due to timeout issues.,"I checked the node health and found all nodes are Ready, so I proceed to Step 2. In Step 2, I found that the recommendationservice pod has failed liveness and readiness probes, indicating it couldn't ...",28765,15894,2977,
